step_num,-gneE0,-gneE1,-gneE2,-gneE3
348,962.0,28.0,1021.0,51.0
349,986.0,33.0,1045.0,57.0
350,1010.0,36.0,1069.0,62.0
351,1034.0,42.0,1093.0,70.0
352,1058.0,48.0,1117.0,79.0
353,1082.0,53.0,1141.0,86.0
354,1106.0,60.0,1165.0,94.0
355,1130.0,67.0,1189.0,103.0
356,1154.0,74.0,1213.0,110.0
357,1178.0,82.0,1237.0,120.0
358,1202.0,89.0,1261.0,131.0
359,1226.0,95.0,1285.0,137.0
360,1163.0,104.0,1222.0,147.0
361,1102.0,115.0,1163.0,159.0
362,1042.0,126.0,1185.0,170.0
363,984.0,137.0,1124.0,180.0
364,930.0,149.0,1065.0,194.0
365,876.0,162.0,1008.0,208.0
366,895.0,176.0,950.0,220.0
367,843.0,188.0,968.0,233.0
368,790.0,202.0,912.0,246.0
369,741.0,216.0,856.0,261.0
370,755.0,230.0,799.0,276.0
371,701.0,245.0,745.0,292.0
372,717.0,260.0,692.0,306.0
373,663.0,276.0,706.0,322.0
374,676.0,292.0,718.0,338.0
375,625.0,308.0,663.0,355.0
376,635.0,324.0,675.0,370.0
377,647.0,342.0,689.0,387.0
378,661.0,358.0,701.0,405.0
379,671.0,376.0,711.0,423.0
380,683.0,394.0,723.0,438.0
381,696.0,413.0,735.0,457.0
382,709.0,431.0,747.0,476.0
383,719.0,452.0,759.0,494.0
384,731.0,470.0,771.0,509.0
385,743.0,489.0,783.0,528.0
386,755.0,510.0,795.0,547.0
387,767.0,529.0,807.0,567.0
388,779.0,550.0,820.0,588.0
389,791.0,572.0,831.0,607.0
390,715.0,593.0,753.0,627.0
391,642.0,614.0,678.0,649.0
392,573.0,636.0,688.0,670.0
393,504.0,658.0,612.0,691.0
394,438.0,680.0,540.0,713.0
395,374.0,703.0,550.0,732.0
396,315.0,726.0,557.0,755.0
397,323.0,749.0,484.0,778.0
398,330.0,773.0,492.0,799.0
399,265.0,797.0,500.0,820.0
400,204.0,821.0,426.0,843.0
401,144.0,845.0,356.0,867.0
402,86.0,869.0,285.0,891.0
403,92.0,893.0,292.0,915.0
404,95.0,917.0,223.0,939.0
405,101.0,941.0,229.0,963.0
406,45.0,965.0,159.0,987.0
407,49.0,989.0,164.0,1011.0
408,55.0,1013.0,95.0,1035.0
409,62.0,1037.0,99.0,1059.0
410,70.0,1061.0,31.0,1083.0
411,76.0,1085.0,35.0,1107.0
412,83.0,1109.0,38.0,1131.0
413,91.0,1133.0,41.0,1155.0
414,100.0,1157.0,45.0,1179.0
415,108.0,1181.0,49.0,1203.0
416,115.0,1205.0,55.0,1227.0
417,124.0,1229.0,62.0,1251.0
418,135.0,1253.0,69.0,1275.0
419,144.0,1277.0,74.0,1299.0
420,154.0,1219.0,79.0,1236.0
421,165.0,1163.0,87.0,1175.0
422,176.0,1106.0,96.0,1114.0
423,187.0,1049.0,105.0,1054.0
424,199.0,1068.0,116.0,1074.0
425,211.0,1010.0,127.0,1014.0
426,223.0,955.0,138.0,952.0
427,235.0,900.0,149.0,970.0
