step_num,-gneE0,-gneE1,-gneE2,-gneE3
437,21.0,15.0,16.0,19.0
438,13.0,18.0,9.0,19.0
439,9.0,21.0,14.0,25.0
440,7.0,28.0,6.0,28.0
441,10.0,31.0,9.0,33.0
442,9.0,39.0,11.0,43.0
443,11.0,44.0,14.0,47.0
444,12.0,45.0,14.0,52.0
445,13.0,39.0,12.0,42.0
446,16.0,30.0,6.0,35.0
447,21.0,37.0,13.0,25.0
448,26.0,27.0,12.0,19.0
449,30.0,34.0,16.0,22.0
450,35.0,29.0,20.0,16.0
451,33.0,22.0,23.0,10.0
452,38.0,20.0,26.0,7.0
453,45.0,10.0,32.0,7.0
454,52.0,10.0,37.0,4.0
455,41.0,10.0,28.0,6.0
456,34.0,9.0,23.0,9.0
457,27.0,8.0,18.0,5.0
458,35.0,5.0,23.0,7.0
459,28.0,4.0,15.0,5.0
460,35.0,5.0,12.0,4.0
461,31.0,5.0,9.0,3.0
462,30.0,8.0,11.0,2.0
463,18.0,6.0,5.0,1.0
464,18.0,8.0,2.0,1.0
465,8.0,13.0,2.0,4.0
466,5.0,10.0,1.0,3.0
467,3.0,8.0,2.0,6.0
468,2.0,10.0,0.0,10.0
469,4.0,16.0,1.0,15.0
470,2.0,18.0,6.0,26.0
471,2.0,19.0,5.0,29.0
472,5.0,26.0,10.0,31.0
473,7.0,32.0,9.0,34.0
474,5.0,35.0,8.0,35.0
475,11.0,41.0,11.0,41.0
476,7.0,48.0,14.0,48.0
477,10.0,53.0,17.0,53.0
478,11.0,63.0,17.0,61.0
479,6.0,71.0,8.0,67.0
480,2.0,75.0,2.0,74.0
481,2.0,84.0,6.0,80.0
482,4.0,91.0,3.0,91.0
483,2.0,98.0,6.0,95.0
484,2.0,108.0,2.0,104.0
485,3.0,94.0,2.0,89.0
486,2.0,84.0,2.0,79.0
487,7.0,75.0,3.0,68.0
488,6.0,83.0,6.0,57.0
489,5.0,72.0,2.0,45.0
490,4.0,63.0,5.0,42.0
491,7.0,54.0,4.0,47.0
492,9.0,44.0,5.0,43.0
493,13.0,47.0,6.0,41.0
494,13.0,39.0,7.0,25.0
495,10.0,30.0,0.0,30.0
496,3.0,19.0,1.0,26.0
497,1.0,10.0,4.0,30.0
498,3.0,10.0,3.0,19.0
499,4.0,16.0,2.0,16.0
500,4.0,16.0,3.0,7.0
501,4.0,4.0,2.0,12.0
502,3.0,8.0,1.0,4.0
503,2.0,3.0,0.0,9.0
504,1.0,4.0,0.0,10.0
505,3.0,6.0,0.0,7.0
506,4.0,9.0,0.0,11.0
507,1.0,13.0,3.0,4.0
508,1.0,18.0,6.0,3.0
509,1.0,19.0,5.0,6.0
510,4.0,21.0,6.0,6.0
511,3.0,26.0,6.0,8.0
512,4.0,29.0,3.0,10.0
513,3.0,32.0,1.0,13.0
514,3.0,36.0,2.0,11.0
515,0.0,44.0,5.0,16.0
516,5.0,52.0,5.0,21.0
517,5.0,62.0,4.0,25.0
518,6.0,65.0,4.0,32.0
519,6.0,56.0,7.0,28.0
520,8.0,48.0,8.0,23.0
521,12.0,57.0,12.0,23.0
522,13.0,54.0,13.0,21.0
523,16.0,60.0,17.0,22.0
524,20.0,55.0,20.0,27.0
525,22.0,39.0,24.0,21.0
526,27.0,36.0,30.0,16.0
527,21.0,27.0,25.0,16.0
528,27.0,21.0,30.0,13.0
529,23.0,13.0,26.0,6.0
530,18.0,7.0,21.0,5.0
531,15.0,11.0,23.0,10.0
532,19.0,10.0,24.0,12.0
533,17.0,11.0,22.0,10.0
534,17.0,14.0,28.0,10.0
535,19.0,6.0,28.0,4.0
536,24.0,4.0,34.0,3.0
537,29.0,4.0,34.0,4.0
538,26.0,2.0,38.0,2.0
539,27.0,2.0,41.0,1.0
540,33.0,1.0,45.0,5.0
541,33.0,2.0,45.0,4.0
542,36.0,2.0,48.0,7.0
543,42.0,5.0,55.0,7.0
544,46.0,6.0,58.0,8.0
545,29.0,10.0,45.0,12.0
546,23.0,16.0,31.0,14.0
547,15.0,20.0,22.0,19.0
548,13.0,28.0,13.0,26.0
549,15.0,35.0,15.0,34.0
550,14.0,44.0,8.0,38.0
551,15.0,44.0,0.0,33.0
552,11.0,48.0,2.0,35.0
553,3.0,46.0,1.0,41.0
554,1.0,44.0,1.0,30.0
555,3.0,47.0,1.0,22.0
556,1.0,49.0,2.0,18.0
557,1.0,58.0,1.0,23.0
558,1.0,70.0,1.0,21.0
559,1.0,71.0,0.0,29.0
560,2.0,76.0,1.0,29.0
561,0.0,86.0,1.0,33.0
562,0.0,97.0,0.0,30.0
563,2.0,103.0,0.0,26.0
564,0.0,110.0,0.0,20.0
565,2.0,120.0,1.0,28.0
566,0.0,130.0,2.0,24.0
567,0.0,136.0,1.0,25.0
568,1.0,145.0,0.0,20.0
569,1.0,155.0,1.0,24.0
570,0.0,165.0,1.0,29.0
571,0.0,178.0,1.0,40.0
572,0.0,187.0,0.0,46.0
573,1.0,200.0,1.0,31.0
574,2.0,179.0,2.0,34.0
575,2.0,155.0,4.0,26.0
576,5.0,136.0,6.0,18.0
577,9.0,145.0,10.0,13.0
578,13.0,127.0,13.0,11.0
579,13.0,107.0,11.0,6.0
580,11.0,88.0,7.0,4.0
581,12.0,98.0,6.0,6.0
582,19.0,80.0,9.0,6.0
583,19.0,80.0,9.0,4.0
584,21.0,62.0,12.0,7.0
585,25.0,46.0,13.0,9.0
586,30.0,32.0,16.0,8.0
587,36.0,32.0,19.0,4.0
588,40.0,15.0,24.0,4.0
589,46.0,4.0,26.0,2.0
590,52.0,4.0,32.0,6.0
591,44.0,5.0,22.0,10.0
592,27.0,10.0,12.0,10.0
593,20.0,11.0,7.0,4.0
594,14.0,15.0,9.0,7.0
595,16.0,18.0,10.0,10.0
596,7.0,23.0,4.0,5.0
597,8.0,26.0,4.0,2.0
598,7.0,30.0,0.0,1.0
599,7.0,33.0,0.0,4.0
600,2.0,41.0,0.0,5.0
