step_num,-gneE0,-gneE1,-gneE2,-gneE3
578,18,20,14,20
579,18,20,16,20
580,18,20,15,20
581,19,20,16,20
582,19,20,16,19
583,19,19,16,18
584,19,19,17,18
585,19,19,17,18
586,19,19,17,18
587,19,20,18,19
588,19,20,18,19
589,20,20,17,19
590,19,20,17,19
591,18,20,16,19
592,18,20,16,19
593,18,20,16,19
594,20,19,17,18
595,20,19,16,19
596,19,19,16,19
597,19,19,15,19
598,18,19,15,19
599,18,19,15,19
600,18,20,15,19
